"word1","word2","freq"
"never","really",8
"nothing","like",8
"now","’s",8
"now","just",8
"oh","man",8
"one","point",8
"open","public",8
"past","week",8
"past","year",8
"people","get",8
"per","day",8
"pretty","sure",8
"put","together",8
"really","dont",8
"really","hard",8
"recent","years",8
"running","around",8
"said","friday",8
"said","now",8
"saturday","night",8
"seem","like",8
"several","times",8
"since","last",8
"take","place",8
"taking","place",8
"tell","us",8
"ten","years",8
"thats","going",8
"think","im",8
"time","get",8
"time","since",8
"trying","get",8
"trying","make",8
"two","hours",8
"washington","dc",8
"wednesday","night",8
"whole","thing",8
"will","begin",8
"will","find",8
"will","need",8
"will","soon",8
"will","try",8
"will","use",8
"will","work",8
"yes","yes",8
"-","pdt",7
"’s","like",7
"’ve","got",7
"“","”",7
"“","don’t",7
"“","think",7
"across","country",7
"answer","question",7
"april","th",7
"averaged","points",7
"awkward","moment",7
"back","work",7
"bay","area",7
"best","friend",7
"best","friends",7
"best","known",7
"best","way",7
"board","member",7
"can","follow",7
"can","read",7
"can","seen",7
"can","turn",7
"cant","find",7
"chief","staff",7
"civil","war",7
"court","judge",7
"cricket","new",7
"day","get",7
"district","attorney",7
"don’t","care",7
"dont","even",7
"dont","really",7
"dont","understand",7
"earlier","month",7
"east","coast",7
"every","night",7
"everything","else",7
"federal","government",7
"feel","free",7
"find","way",7
"finish","line",7
"first","half",7
"first","step",7
"first","year",7
"go","way",7
"going","see",7
"good","time",7
"good","way",7
"great","job",7
"group","people",7
"hard","work",7
"health","insurance",7
"home","run",7
"hope","get",7
"hunger","games",7
"im","sorry",7
"just","get",7
"just","happened",7
"just","keep",7
"just","little",7
"just","look",7
"just","make",7
"just","wanted",7
"keep","eye",7
"know","going",7
"know","love",7
"know","whats",7
"least","one",7
"leave","comment",7
"left","alone",7
"let","alone",7
"life","insurance",7
"make","happen",7
"making","sure",7
"may","th",7
"may","well",7
"mental","health",7
"might","think",7
"mobile","phone",7
"monday","morning",7
"much","like",7
"much","time",7
"need","get",7
"new","years",7
"next","months",7
"next","one",7
"now","think",7
"oh","well",7
"one","first",7
"one","many",7
"one","night",7
"one","one",7
"one","us",7
"online","poker",7
"others","will",7
"people","know",7
"per","share",7
"point","view",7
"real","world",7
"really","really",7
"report","said",7
"right","side",7
"said","hes",7
"said","made",7
"said","one",7
"saturday","morning",7
"silicon","valley",7
"six","weeks",7
"six","years",7
"small","town",7
"south","carolina",7
"square","feet",7
"stay","tuned",7
"still","want",7
"sunday","evening",7
"sure","will",7
"take","time",7
"th","century",7
"thank","much",7
